$GPGGA,152054.683753,6734.081,N,-12959.206,W,0,8,4.1,508.5,M,2.0,M,,*53
$GPGGA,152054.684184,3820.708,N,7050.874,E,0,8,13.0,73.3,M,30.5,M,,*69
$GPGGA,152054.684403,-3207.302,S,-6587.405,W,0,8,3.7,106.4,M,49.7,M,,*67
$GPGGA,152054.684714,-8291.284,S,12574.532,E,0,8,17.2,327.4,M,67.5,M,,*55
$GPGGA,152054.684924,3202.491,N,5169.117,E,0,8,7.2,991.5,M,80.4,M,,*69
$GPGGA,152054.685167,-1323.204,S,-15293.057,W,0,8,20.0,292.0,M,50.8,M,,*6b
$GPGGA,152054.685353,-8035.061,S,11169.524,E,0,8,6.0,273.4,M,33.1,M,,*6d
$GPGGA,152054.685558,5824.063,N,-4545.616,W,0,8,8.2,383.9,M,85.9,M,,*5e
$GPGGA,152054.685794,5764.588,N,7211.543,E,0,8,16.7,558.1,M,8.4,M,,*64
$GPGGA,152054.686014,1092.265,N,-15928.513,W,0,8,4.7,16.2,M,6.4,M,,*6f
$GPGGA,152054.686221,-7470.233,S,-17764.148,W,0,8,8.1,786.1,M,11.7,M,,*5a
$GPGGA,152054.686387,-8784.17,S,-12423.991,W,0,8,16.1,140.4,M,45.9,M,,*54
$GPGGA,152054.686565,-969.233,S,-7219.623,W,0,8,8.5,584.6,M,33.5,M,,*5a
$GPGGA,152054.686720,-350.224,S,-8806.803,W,0,8,4.5,850.8,M,29.6,M,,*56
$GPGGA,152054.686871,-3773.541,S,-16896.874,W,0,8,15.1,504.3,M,36.9,M,,*6b
$GPGGA,152054.687046,-477.496,S,-4967.573,W,0,8,12.5,480.1,M,0.6,M,,*59
$GPGGA,152054.687196,-6137.85,S,6724.44,E,0,8,0.5,962.8,M,8.2,M,,*66
$GPGGA,152054.687371,508.835,N,16927.081,E,0,8,3.2,517.6,M,71.1,M,,*6c
$GPGGA,152054.687558,3179.913,N,-13148.249,W,0,8,5.1,274.6,M,43.0,M,,*6f
$GPGGA,152054.687705,-5665.529,S,-13814.141,W,0,8,1.1,184.3,M,9.3,M,,*67
